#,schema_name,table_name,column_name,data_type
1,information_schema,sql_features,feature_id,information_schema.character_data
2,information_schema,sql_features,feature_name,information_schema.character_data
3,information_schema,sql_features,sub_feature_id,information_schema.character_data
4,information_schema,sql_features,sub_feature_name,information_schema.character_data
5,information_schema,sql_features,is_supported,information_schema.yes_or_no
6,information_schema,sql_features,is_verified_by,information_schema.character_data
7,information_schema,sql_features,comments,information_schema.character_data
8,information_schema,sql_implementation_info,implementation_info_id,information_schema.character_data
9,information_schema,sql_implementation_info,implementation_info_name,information_schema.character_data
10,information_schema,sql_implementation_info,integer_value,information_schema.cardinal_number
11,information_schema,sql_implementation_info,character_value,information_schema.character_data
12,information_schema,sql_implementation_info,comments,information_schema.character_data
13,information_schema,sql_parts,feature_id,information_schema.character_data
14,information_schema,sql_parts,feature_name,information_schema.character_data
15,information_schema,sql_parts,is_supported,information_schema.yes_or_no
16,information_schema,sql_parts,is_verified_by,information_schema.character_data
17,information_schema,sql_parts,comments,information_schema.character_data
18,information_schema,sql_sizing,sizing_id,information_schema.cardinal_number
19,information_schema,sql_sizing,sizing_name,information_schema.character_data
20,information_schema,sql_sizing,supported_value,information_schema.cardinal_number
21,information_schema,sql_sizing,comments,information_schema.character_data
22,pg_catalog,pg_aggregate,aggfnoid,regproc
23,pg_catalog,pg_aggregate,aggkind,"""char"""
24,pg_catalog,pg_aggregate,aggnumdirectargs,smallint
25,pg_catalog,pg_aggregate,aggtransfn,regproc
26,pg_catalog,pg_aggregate,aggfinalfn,regproc
27,pg_catalog,pg_aggregate,aggcombinefn,regproc
28,pg_catalog,pg_aggregate,aggserialfn,regproc
29,pg_catalog,pg_aggregate,aggdeserialfn,regproc
30,pg_catalog,pg_aggregate,aggmtransfn,regproc
31,pg_catalog,pg_aggregate,aggminvtransfn,regproc
32,pg_catalog,pg_aggregate,aggmfinalfn,regproc
33,pg_catalog,pg_aggregate,aggfinalextra,boolean
34,pg_catalog,pg_aggregate,aggmfinalextra,boolean
35,pg_catalog,pg_aggregate,aggfinalmodify,"""char"""
36,pg_catalog,pg_aggregate,aggmfinalmodify,"""char"""
37,pg_catalog,pg_aggregate,aggsortop,oid
38,pg_catalog,pg_aggregate,aggtranstype,oid
39,pg_catalog,pg_aggregate,aggtransspace,integer
40,pg_catalog,pg_aggregate,aggmtranstype,oid
41,pg_catalog,pg_aggregate,aggmtransspace,integer
42,pg_catalog,pg_aggregate,agginitval,text
43,pg_catalog,pg_aggregate,aggminitval,text
44,pg_catalog,pg_am,oid,oid
45,pg_catalog,pg_am,amname,name
46,pg_catalog,pg_am,amhandler,regproc
47,pg_catalog,pg_am,amtype,"""char"""
48,pg_catalog,pg_amop,oid,oid
